rowid,pl_hostname,pl_orbper,pl_bmassj,st_dist,st_mass,"freq, Hz","hzero,1e-24","hf, 3yr","hf, 5yr","hf, 10yr"
340,HD 160691,643.25,1.08,15.28,1.08,3.742709474265828e-8,0.09455176603950721,9.199756036484955e-22,1.1876833972825798e-21,1.6796379682423768e-21
312,HD 147513,528.4,1.21,12.87,1.11,4.619249001364192e-8,0.14737368663501743,1.4339255838680367e-21,1.8511899686738844e-21,2.6179779602276324e-21
439,HD 217107,7.126816,1.39,19.72,1.02,3.283474857983289e-6,1.791883272954337,1.7434776363828133e-20,2.250819950065236e-20,3.1831400998421894e-20
472,HD 27442,428.1,1.56,18.24,1.23,6.00228932432538e-8,0.17093857351698236,1.6632086733566653e-21,2.147193164392699e-21,3.0365896941189574e-21
1947,gam Cep,903.3,1.85,13.79,1.4,3.034957460731601e-8,0.18551520444267414,1.8050372757903982e-21,2.330293102806606e-21,3.2955321102935833e-21
1960,ups And,241.258,1.981,13.47,1.3,1.0950966819695636e-7,0.45534206017248363,4.4304152552655316e-21,5.71964150014223e-21,8.088794581413136e-21
646,HIP 79431,111.7,2.1,14.9,0.49,1.454046857779101e-7,0.27482675446701976,2.6740263025220495e-21,3.4521531123294986e-21,4.882081750844868e-21
651,HR 810,312.,2.13,17.24,1.25,8.304246189463849e-8,0.30987126885117516,3.015004579560901e-21,3.8923541751261554e-21,5.50462006402295e-21
130,GJ 876,61.1166,2.2756,4.7,0.33,2.1835823624593476e-7,0.9504688788321677,9.247930706945994e-21,1.1939027204960675e-20,1.6884334194796734e-20
548,HD 62509,589.64,2.3,10.34,2.1,5.693724761016125e-8,0.613150827217684,5.9658727279770554e-21,7.701908573682717e-21,1.0892143561059717e-20
33,7 CMa,796.,2.46,19.84,1.52,3.5891434375142336e-8,0.2025320072572977,1.970608413139747e-21,2.544044521995489e-21,3.597822266286998e-21
102,GJ 317,692.,2.5,15.1,0.42,2.17468295079992e-8,0.0820364717216479,7.982035212518501e-22,1.0304763148975113e-21,1.4573135802323088e-21
101,GJ 3021,133.71,3.37,17.62,0.9,1.6458077770591495e-7,0.607606762177511,5.911929742080118e-21,7.632268478341536e-21,1.0793657593743265e-20
129,GJ 86,15.76491,3.91,10.91,0.77,1.2919655008485558e-6,4.051169549769871,3.941731929654992e-20,5.08875403958927e-20,7.196584978368021e-20
1957,tau Boo,3.3124568,4.32,15.6,1.34,8.104315721137006e-6,15.413306560551069,1.4996934061852863e-19,1.936095862190897e-19,2.738053026364797e-19
360,HD 1690,533.,6.1,7.01,1.09,4.547681331551242e-8,1.3317382096293644,1.2957628552317272e-20,1.6728226529822175e-20,2.3657284832923933e-20
34,70 Vir,116.6926,7.4,18.11,1.09,2.0783550177555197e-7,1.721510098512954,1.6750055111659023e-20,2.1624228165170605e-20,3.0581276747034536e-20
