pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 142022 A,b,Radial Velocity,1928.00000000,3.030000,0.530000,5.10000,35.87,0.99,2014-05-14,27.88
HD 39091,b,Radial Velocity,2151.00000000,3.380000,0.640500,10.27000,18.21,1.10,2014-07-23,54.92
HD 137388 A,b,Radial Velocity,330.00000000,0.890000,0.360000,0.22300,38.45,0.86,2014-05-14,26.01
GJ 3021,b,Radial Velocity,133.71000000,0.490000,0.511000,3.37000,17.62,0.90,2014-05-14,56.76
HD 63454,b,Radial Velocity,2.81804900,0.036800,0.000000,0.39800,35.80,0.84,2015-03-26,27.93
HD 212301,b,Radial Velocity,2.24571500,0.036000,0.000000,0.45000,52.72,1.27,2014-05-14,18.97
CHXR 73,b,Imaging,,210.000000,,12.56900,,0.35,2014-05-14,
CT Cha,b,Imaging,,440.000000,,17.00000,165.00,,2014-05-14,
HD 196067,b,Radial Velocity,3638.00000000,5.020000,0.660000,6.90000,43.57,1.29,2014-05-14,22.95
HD 68402,b,Radial Velocity,1103.00000000,2.180000,0.030000,3.07000,78.00,1.12,2016-11-10,12.82
HD 38283,b,Radial Velocity,363.20000000,1.020000,0.410000,0.34000,37.78,1.08,2015-09-10,26.47
HD 131664,b,Radial Velocity,1951.00000000,3.170000,0.638000,18.15000,57.21,1.10,2014-05-14,17.48
HD 108341,b,Radial Velocity,1129.00000000,2.000000,0.850000,3.50000,49.40,0.84,2015-01-08,20.23
HD 222076,b,Radial Velocity,871.00000000,1.830000,0.080000,1.56000,83.50,1.07,2016-12-01,
HD 100546,b,Imaging,,53.000000,,,97.00,2.40,2015-05-14,
WASP-91,b,Transit,2.79858100,0.037000,0.000000,1.34000,150.72,0.84,2017-08-17,6.63
HD 216437,b,Radial Velocity,1256.00000000,2.320000,0.290000,1.82000,26.52,1.06,2015-04-24,37.71
HD 175167,b,Radial Velocity,1290.00000000,2.400000,0.540000,7.80000,67.02,1.10,2014-05-14,14.92
WASP-126,b,Transit,3.28880000,0.044900,0.180000,0.28000,234.00,1.12,2016-05-05,
HD 129445,b,Radial Velocity,1840.00000000,2.900000,0.700000,1.60000,67.61,0.99,2014-05-14,14.79
HD 95086,b,Imaging,,55.700000,,5.00000,91.57,1.60,2014-05-14,10.92
HD 111232,b,Radial Velocity,1143.00000000,1.970000,0.200000,6.80000,28.88,0.78,2014-08-21,34.63
HD 11977,b,Radial Velocity,711.00000000,1.930000,0.400000,6.54000,66.49,1.91,2014-05-14,15.04
HD 76920,b,Radial Velocity,415.40000000,1.149000,0.856000,3.93000,184.80,1.17,2017-11-30,
HD 76700,b,Radial Velocity,3.97100000,0.049000,0.000000,0.19700,59.70,1.00,2015-04-24,16.75
POTS-1,b,Transit,3.16062960,0.037340,,2.31000,1200.00,0.69,2014-05-14,
HD 181433,c,Radial Velocity,962.00000000,1.760000,0.280000,0.64000,26.15,0.78,2014-07-23,38.24
HD 181433,b,Radial Velocity,9.37430000,0.080000,0.396000,0.02400,26.15,0.78,2014-07-23,38.24
HD 181433,d,Radial Velocity,2172.00000000,3.000000,0.480000,0.54000,26.15,0.78,2014-07-23,38.24
WD 0806-661,b,Imaging,,2500.000000,,7.50000,19.20,0.62,2014-05-14,
HD 175607,b,Radial Velocity,29.01000000,,0.110000,0.02825,45.27,0.71,2015-11-19,22.09
HD 7199,b,Radial Velocity,615.00000000,1.360000,0.190000,0.29000,35.88,0.89,2014-05-14,27.87
HD 4308,b,Radial Velocity,15.56000000,0.115000,0.000000,0.04420,21.85,0.83,2014-12-03,45.76
HIP 63242,b,Radial Velocity,124.60000000,0.565000,0.230000,9.18000,149.25,1.54,2014-05-14,6.70
WASP-119,b,Transit,2.49979000,0.036300,0.058000,1.23000,333.00,1.02,2016-05-05,
HD 25171,b,Radial Velocity,1845.00000000,3.020000,0.080000,0.95000,56.05,1.09,2014-05-14,17.84
HIP 107773,b,Radial Velocity,144.30000000,0.720000,0.090000,1.98000,103.63,2.42,2015-06-04,9.65
HD 190984,b,Radial Velocity,4885.00000000,5.500000,0.570000,3.10000,189.39,0.91,2014-08-21,5.28
WASP-100,b,Transit,2.84937500,0.045700,0.000000,2.03000,,1.57,2014-05-14,
HD 108147,b,Radial Velocity,10.89850000,0.102000,0.530000,0.26100,38.56,1.27,2014-05-14,25.93
WASP-62,b,Transit,4.41195300,0.056700,0.210000,0.57000,160.00,1.25,2014-05-14,
HD 65216,b,Radial Velocity,572.40000000,1.300000,0.000000,1.26000,35.59,0.92,2014-05-14,28.10
