pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
HD 142022 A,b,Radial Velocity,1928.,3.03,0.53,5.1,35.87,0.99,2014-05-14,27.88
HD 39091,b,Radial Velocity,2151.,3.38,0.6405,10.27,18.21,1.1,2014-07-23,54.92
HD 137388 A,b,Radial Velocity,330.,0.89,0.36,0.223,38.45,0.86,2014-05-14,26.01
GJ 3021,b,Radial Velocity,133.71,0.49,0.511,3.37,17.62,0.9,2014-05-14,56.76
HD 63454,b,Radial Velocity,2.818049,0.0368,0.,0.398,35.8,0.84,2015-03-26,27.93
HD 212301,b,Radial Velocity,2.245715,0.036,0.,0.45,52.72,1.27,2014-05-14,18.97
CHXR 73,b,Imaging,,210.,,12.569,,0.35,2014-05-14,
CT Cha,b,Imaging,,440.,,17.,165.,,2014-05-14,
HD 196067,b,Radial Velocity,3638.,5.02,0.66,6.9,43.57,1.29,2014-05-14,22.95
HD 68402,b,Radial Velocity,1103.,2.18,0.03,3.07,78.,1.12,2016-11-10,12.82
HD 38283,b,Radial Velocity,363.2,1.02,0.41,0.34,37.78,1.08,2015-09-10,26.47
HD 131664,b,Radial Velocity,1951.,3.17,0.638,18.15,57.21,1.1,2014-05-14,17.48
HD 108341,b,Radial Velocity,1129.,2.,0.85,3.5,49.4,0.84,2015-01-08,20.23
HD 222076,b,Radial Velocity,871.,1.83,0.08,1.56,83.5,1.07,2016-12-01,
HD 100546,b,Imaging,,53.,,,97.,2.4,2015-05-14,
HD 216437,b,Radial Velocity,1256.,2.32,0.29,1.82,26.52,1.15,2015-04-24,37.71
HD 175167,b,Radial Velocity,1290.,2.4,0.54,7.8,67.02,1.1,2014-05-14,14.92
WASP-126,b,Transit,3.2888,0.0449,0.18,0.28,234.,1.12,2016-05-05,
HD 129445,b,Radial Velocity,1840.,2.9,0.7,1.6,67.61,0.99,2014-05-14,14.79
HD 95086,b,Imaging,,55.7,,5.,91.57,1.6,2014-05-14,10.92
HD 111232,b,Radial Velocity,1143.,1.97,0.2,6.8,28.88,0.78,2014-08-21,34.63
HD 11977,b,Radial Velocity,711.,1.93,0.4,6.54,66.49,1.91,2014-05-14,15.04
HD 76700,b,Radial Velocity,3.971,0.049,0.,0.197,59.7,1.,2015-04-24,16.75
POTS-1,b,Transit,3.1606296,0.03734,,2.31,1200.,0.69,2014-05-14,
HD 181433,c,Radial Velocity,962.,1.76,0.28,0.64,26.15,0.78,2014-07-23,38.24
