st_dist,pl_bmassj,pl_orbper,pl_hostname,pl_name
19.20,7.50000,,WD 0806-661,WD 0806-661 b
10.10,22.00000,,WISEP J121756.91+162640.2 A,WISEP J121756.91+162640.2 A b
14.08,2.53000,1078.00000000,47 UMa,47 UMa b
15.36,0.47200,4.23078500,51 Peg,51 Peg b
12.53,3.87800,4825.00000000,55 Cnc,55 Cnc d
8.52,0.07200,123.01000000,61 Vir,61 Vir d
3.57,0.01700,11.44330000,GJ 15 A,GJ 15 A b
12.12,0.82000,2288.00000000,GJ 179,GJ 179 b
17.95,4.00000,,GJ 504,GJ 504 b
6.27,0.00530,3.14900000,GJ 581,GJ 581 e
6.80,0.00800,62.24000000,GJ 667 C,GJ 667 C e
4.54,0.03500,4.69380000,GJ 674,GJ 674 b
16.13,0.03600,35.37000000,GJ 676 A,GJ 676 A e
4.94,0.68000,3657.00000000,GJ 832,GJ 832 b
4.70,2.27560,61.11660000,GJ 876,GJ 876 b
4.70,0.04600,124.26000000,GJ 876,GJ 876 e
9.24,0.05000,122.10000000,HD 102365,HD 102365 b
17.35,0.94000,989.20000000,HD 10647,HD 10647 b
18.06,0.94700,3342.00000000,HD 154345,HD 154345 b
15.28,1.81400,4205.80000000,HD 160691,HD 160691 c
11.03,0.29800,41.39700000,HIP 57050,HIP 57050 b
11.43,6.28536,,Ross 458,Ross 458 c
19.25,,2.21857520,HD 189733,HD 189733 b
15.60,4.32000,3.31245680,tau Boo,tau Boo b
13.47,1.98100,241.25800000,ups And,ups And c
15.89,1.56000,2915.00000000,HD 190360,HD 190360 b
15.89,0.06000,17.11100000,HD 190360,HD 190360 c
19.89,0.73300,24.35870000,HD 192263,HD 192263 b
8.82,0.05320,74.72000000,HD 192310,HD 192310 b
6.55,0.01200,3.09310000,HD 219134,HD 219134 b
6.55,0.01100,6.76350000,HD 219134,HD 219134 c
6.55,0.06700,46.71000000,HD 219134,HD 219134 d
12.04,0.00510,1.62893000,GJ 1132,GJ 1132 b
14.90,2.10000,111.70000000,HIP 79431,HIP 79431 b
17.24,2.13000,312.00000000,HR 810,HR 810 b
8.82,0.07600,525.80000000,HD 192310,HD 192310 c
6.06,0.00760,40.11400000,HD 20794,HD 20794 c
19.72,1.39000,7.12681600,HD 217107,HD 217107 b
9.42,0.02600,8.78360000,HD 285968,HD 285968 b
12.83,0.02080,9.61840000,HD 40307,HD 40307 c
12.83,0.02230,197.80000000,HD 40307,HD 40307 g
12.58,0.03210,8.66700000,HD 69830,HD 69830 b
16.82,0.02026,24.45100000,HD 7924,HD 7924 d
7.01,6.10000,533.00000000,HD 1690,HD 1690 b
3.92,0.02200,121.54000000,Kapteyn,Kapteyn c
