pl_hostname,ra,dec
HD 142022 A,242.562592,-84.231613
HD 39091,84.291214,-80.469124
HD 137388 A,233.916367,-80.204590
GJ 3021,4.052823,-79.851181
HD 63454,114.841049,-78.278969
HD 212301,336.878845,-77.717926
CHXR 73,166.619893,-77.625877
CT Cha,166.037877,-76.455383
HD 196067,310.433716,-75.350800
HD 38283,84.258408,-73.699341
HD 131664,225.025314,-73.535339
HD 108341,186.880798,-71.422974
HD 100546,173.356003,-70.194786
HD 216437,343.664520,-70.073708
HD 175167,285.003479,-69.944244
HD 129445,221.512772,-68.762749
HD 95086,164.262589,-68.667343
HD 111232,192.215637,-68.425148
HD 11977,28.733881,-67.647301
HD 76700,133.481308,-66.800995
POTS-1,203.608877,-66.581116
HD 181433,291.289856,-66.468796
HD 181433,291.289856,-66.468796
HD 181433,291.289856,-66.468796
WD 0806-661,121.723902,-66.304650
HD 175607,285.272858,-66.192680
HD 7199,17.696762,-66.188164
HD 4308,11.163615,-65.649521
HIP 63242,194.383163,-65.646461
HD 25171,58.956001,-65.186676
HIP 107773,327.500519,-64.712540
HD 190984,302.877991,-64.620468
WASP-100,68.959728,-64.027039
HD 108147,186.442780,-64.022087
WASP-62,87.139961,-63.988434
HD 65216,118.422173,-63.647324
HD 65216,118.422173,-63.647324
HD 219077,348.527435,-62.700005
OGLE-TR-211,160.059951,-62.455601
OGLE-TR-132,162.644667,-61.957194
NGC 4349 127,186.147811,-61.820004
HD 147018,245.750610,-61.688763
HD 147018,245.750610,-61.688763
OGLE-TR-113,163.101667,-61.446806
OGLE-TR-111,163.324625,-61.405639
OGLE2-TR-L9,166.979921,-61.146263
OGLE-TR-182,167.327963,-61.095257
HD 196050,309.465454,-60.634483
HD 10180,24.473234,-60.511528
HD 10180,24.473234,-60.511528
HD 10180,24.473234,-60.511528
HD 10180,24.473234,-60.511528
HD 10180,24.473234,-60.511528
HD 10180,24.473234,-60.511528
HD 142415,239.419968,-60.200256
HD 23127,54.848495,-60.077843
HD 40307,88.517670,-60.023472
