st_dist,pl_bmassj,pl_orbper,pl_hostname,pl_name
3.21,1.55,2502,eps Eri,eps Eri b
4.7,2.2756,61.1166,GJ 876,GJ 876 b
7.01,6.1,533,HD 1690,HD 1690 b
7.56,4.6,4375,HD 95872,HD 95872 b
10.1,22,,WISEP J121756.91+162640.2 A,WISEP J121756.91+162640.2 A b
10.34,2.3,589.64,HD 62509,HD 62509 b
10.91,3.91,15.76491,GJ 86,GJ 86 b
11.43,6.28536,,Ross 458,Ross 458 c
12.53,3.878,4825,55 Cnc,55 Cnc d
12.7,11.2,,VHS J125601.92-125723.9,VHS J125601.92-125723.9 b
12.87,1.21,528.4,HD 147513,HD 147513 b
13.47,4.132,1276.46,ups And,ups And d
13.47,1.981,241.258,ups And,ups And c
13.47,1.059,3848.86,ups And,ups And e
13.79,1.85,903.3,gam Cep,gam Cep b
14.08,1.64,14002,47 UMa,47 UMa d
14.08,2.53,1078,47 UMa,47 UMa b
14.9,2.1,111.7,HIP 79431,HIP 79431 b
15.1,2.5,692,GJ 317,GJ 317 b
15.28,1.08,643.25,HD 160691,HD 160691 b
15.28,1.814,4205.8,HD 160691,HD 160691 c
15.6,4.32,3.3124568,tau Boo,tau Boo b
15.89,1.56,2915,HD 190360,HD 190360 b
16.13,4.95,1050.3,GJ 676 A,GJ 676 A b
17.24,2.13,312,HR 810,HR 810 b
17.62,3.37,133.71,GJ 3021,GJ 3021 b
17.95,4,,GJ 504,GJ 504 b
18.06,1.78,2754,HD 87883,HD 87883 b
18.11,7.4,116.6926,70 Vir,70 Vir b
18.15,4.64,1773.4,14 Her,14 Her b
18.21,10.27,2151,HD 39091,HD 39091 b
18.24,1.56,428.1,HD 27442,HD 27442 b
18.39,21.9987,,HN Peg,HN Peg b
19.2,7.5,,WD 0806-661,WD 0806-661 b
19.72,2.6,4270,HD 217107,HD 217107 c
19.72,1.39,7.126816,HD 217107,HD 217107 b
19.84,2.46,796,7 CMa,7 CMa b
,,,,
,1.49,27.9481449,Kepler-55,Kepler-55 b
,6.95,11.6092567,Kepler-57,Kepler-57 c
,1.37,17.9801235,Kepler-59,Kepler-59 c
,1.6,2590,BD+49 828,BD+49 828 b
,12.569,,CHXR 73,CHXR 73 b
,1.03,1.5089557,CoRoT-1,CoRoT-1 b
,2.96,8.886593,CoRoT-6,CoRoT-6 b
,1.769,453.019,HD 128311,HD 128311 b
,3.789,921.538,HD 128311,HD 128311 c
,1.02,114.73635,Kepler-87,Kepler-87 b
,9.836,820.3,Kepler-94,Kepler-94 c
,10.39,3.57532,CoRoT-27,CoRoT-27 b
,1.01,3.9791,OGLE-TR-182,OGLE-TR-182 b
,2.494,1.33711647,Qatar-2,Qatar-2 b
,7.7,1916.25,UZ For,UZ For c
,1.41,1.091423,WASP-12,WASP-12 b
,1.071,2.34121242,WASP-24,WASP-24 b
,1.002,3.126096,WASP-45,WASP-45 b
,1.88,4.08722,WASP-73,WASP-73 b
,1.47,148.6,HD 216536,HD 216536 b
,1.32,2.07276,WASP-97,WASP-97 b
,2.5,69.7546,Kepler-419,Kepler-419 b
,1.03,3.3118644,Kepler-424,Kepler-424 b
,1.37,7.79430132,Kepler-447,Kepler-447 b
,1.54,121.71,NGC 2682 Sand 364,NGC 2682 Sand 364 b
,4.5,2.4855335,OGLE2-TR-L9,OGLE2-TR-L9 b
,1.39,1.2119189,OGLE-TR-056,OGLE-TR-056 b
,1.03,3.67724,OGLE-TR-211,OGLE-TR-211 b
,1.88,2.1461,Pr0211,Pr0211 b
,2.5,,PSR B1620-26,PSR B1620-26 b
