# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 26 12:47:48 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
rowid,pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_mass
1,11 Com,326.03000000,1.290000,0.231000,19.40000,2.70
2,11 UMi,516.22000000,1.540000,0.080000,10.50000,1.80
3,14 And,185.84000000,0.830000,0.000000,4.80000,2.20
4,14 Her,1773.40000000,2.770000,0.369000,4.64000,0.90
5,16 Cyg B,798.50000000,1.681000,0.681000,1.68000,0.99
6,18 Del,993.30000000,2.600000,0.080000,10.30000,2.30
7,1RXS J160929.1-210524,,330.000000,,8.00000,0.85
8,24 Sex,452.80000000,1.333000,0.090000,1.99000,1.54
9,24 Sex,883.00000000,2.080000,0.290000,0.86000,1.54
10,2MASS J01225093-2439505,,52.000000,,24.50000,0.40
11,2MASS J02192210-3925225,,156.000000,,13.90000,0.11
12,2MASS J04414489+2301513,,15.000000,,7.50000,0.02
13,2MASS J12073346-3932539,,46.000000,,4.00000,0.02
14,2MASS J19383260+4603591,416.00000000,0.920000,,1.90000,0.48
15,2MASS J21402931+1625183 A,7336.50000000,,0.260000,20.95000,0.08
16,30 Ari B,335.10000000,0.995000,0.289000,9.88000,1.16
17,4 UMa,269.30000000,0.870000,0.432000,7.10000,1.23
18,42 Dra,479.10000000,1.190000,0.380000,3.88000,0.98
19,47 UMa,1078.00000000,2.100000,0.032000,2.53000,1.03
20,47 UMa,2391.00000000,3.600000,0.098000,0.54000,1.03
21,47 UMa,14002.00000000,11.600000,0.160000,1.64000,1.03
22,51 Eri,,13.200000,,2.00000,1.75
23,51 Peg,4.23078500,0.052700,0.013000,0.47200,1.12
24,55 Cnc,14.65152000,0.115227,0.003400,0.83060,0.91
25,55 Cnc,44.41750000,0.241376,0.020000,0.17140,0.91
26,55 Cnc,4825.00000000,5.503000,0.019000,3.87800,0.91
27,55 Cnc,,0.015440,,0.02542,0.91
28,55 Cnc,262.00000000,0.788000,0.305000,0.14100,0.91
29,6 Lyn,874.77400000,2.180000,0.125000,2.21000,1.70
30,61 Vir,4.21500000,0.050201,0.120000,0.01600,0.94
31,61 Vir,38.02100000,0.217500,0.140000,0.05700,0.94
32,61 Vir,123.01000000,0.476000,0.350000,0.07200,0.94
33,7 CMa,796.00000000,1.930000,0.220000,2.46000,1.52
34,70 Vir,116.69260000,0.481000,0.399000,7.40000,1.09
35,75 Cet,691.90000000,2.100000,0.117000,3.00000,2.49
36,8 UMi,93.40000000,0.490000,0.060000,1.50000,1.80
37,81 Cet,952.70000000,2.500000,0.206000,5.30000,2.40
38,91 Aqr,181.40000000,0.700000,0.027000,3.20000,1.40
39,AB Pic,,260.000000,,13.50000,
40,BD+14 4559,268.94000000,0.777000,0.290000,1.47000,0.86
41,BD+15 2375,153.22000000,0.576000,0.001000,1.06100,1.08
42,BD+15 2940,137.48000000,0.539000,0.260000,1.11000,1.10
43,BD+20 1790,7.78287000,0.066000,0.220000,6.37000,0.63
44,BD+20 2457,379.63000000,1.450000,0.150000,21.42000,2.80
45,BD+20 2457,621.99000000,2.010000,0.180000,12.47000,2.80
46,BD+20 274,578.20000000,1.300000,0.210000,4.20000,0.80
47,BD+48 738,392.60000000,1.000000,0.200000,0.91000,0.74
48,BD+49 828,2590.00000000,4.200000,0.350000,1.60000,1.52
