# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Dimensionless strain (1 yr integration)
# Astrophysical Noise is No White Dwarf Noise
#
#
#
# f [Hz] 	 h [dimensionless strain]
9.765035e-08    1.465146e-15
9.992561e-08    1.399184e-15
1.022538e-07    1.336193e-15
1.046364e-07    1.276037e-15
1.070744e-07    1.218588e-15
1.095693e-07    1.163727e-15
1.121222e-07    1.111335e-15
1.147346e-07    1.061303e-15
1.174080e-07    1.013522e-15
1.201436e-07    9.678925e-16
1.229430e-07    9.243175e-16
1.258075e-07    8.827049e-16
1.287388e-07    8.429650e-16
1.317385e-07    8.050139e-16
1.348080e-07    7.687718e-16
1.379489e-07    7.341618e-16
1.411632e-07    7.011090e-16
1.444523e-07    6.695449e-16
1.478180e-07    6.394019e-16
1.512621e-07    6.106158e-16
1.547865e-07    5.831257e-16
1.583931e-07    5.568728e-16
1.620836e-07    5.318022e-16
1.658602e-07    5.078604e-16
1.697248e-07    4.849959e-16
1.736793e-07    4.631612e-16
1.777260e-07    4.423097e-16
1.818671e-07    4.223966e-16
1.861046e-07    4.033800e-16
1.904408e-07    3.852198e-16
1.948781e-07    3.678770e-16
1.994188e-07    3.513149e-16
2.040652e-07    3.354986e-16
2.088199e-07    3.203942e-16
2.136855e-07    3.059698e-16
2.186644e-07    2.921948e-16
2.237592e-07    2.790402e-16
2.289728e-07    2.664777e-16
2.343079e-07    2.544806e-16
2.397673e-07    2.430238e-16
2.453538e-07    2.320827e-16
2.510706e-07    2.216343e-16
2.569205e-07    2.116562e-16
2.629067e-07    2.021273e-16
2.690325e-07    1.930275e-16
2.753009e-07    1.843373e-16
2.817154e-07    1.760384e-16
2.882794e-07    1.681130e-16
2.949963e-07    1.605444e-16
3.018697e-07    1.533167e-16
3.089033e-07    1.464143e-16
3.161008e-07    1.398226e-16
3.234659e-07    1.335277e-16
